@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D45248_at integer
@attribute D50310_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute D87470_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute L06132_at integer
@attribute L08895_at integer
@attribute L25270_at integer
@attribute L36818_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute M75099_at integer
@attribute M83308_at integer
@attribute M93119_at integer
@attribute M93426_at integer
@attribute U06155_at integer
@attribute U07550_at integer
@attribute U09087_s_at integer
@attribute U16954_at integer
@attribute U17760_rna1_at integer
@attribute U51336_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X04106_at integer
@attribute X52011_at integer
@attribute X54304_at integer
@attribute X65784_s_at integer
@attribute X76105_at integer
@attribute Z69915_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
245,20,151,197,170,82,1132,322,190,55,213,367,412,20,26,48,47,86,581,186,73,180,923,22,36,194,69,984,57,446,171,100,36,37,472,49,78,152,82,185,'MED'
201,20,170,120,200,114,1434,235,197,76,253,181,372,20,33,54,57,121,604,119,156,190,409,76,32,246,104,1159,52,262,185,131,38,43,334,42,51,85,27,166,'MED'
95,20,73,66,99,88,1479,296,267,52,214,305,246,20,45,24,34,80,908,188,118,305,899,46,20,209,60,1108,93,216,178,173,38,34,595,46,65,105,29,178,'MED'
114,28,125,85,113,149,1182,270,260,71,232,219,230,20,41,52,24,114,699,67,83,235,233,226,20,91,113,740,51,296,222,172,25,39,371,47,72,133,20,183,'MED'
64,20,104,35,90,36,957,278,297,40,216,28,200,20,42,22,29,97,964,99,20,335,597,22,20,179,109,1443,89,192,315,83,51,51,368,59,60,59,20,215,'MED'
92,20,91,66,72,25,1008,349,285,39,162,20,181,20,45,33,32,117,732,73,20,287,1000,45,23,123,109,808,73,199,120,391,45,42,307,67,46,25,20,140,'MED'
95,20,105,20,105,49,435,169,265,65,110,20,105,20,35,20,33,86,830,25,41,405,174,42,24,79,121,945,81,79,101,297,43,20,585,70,20,53,20,90,'MED'
78,20,65,20,94,25,569,415,249,20,250,113,179,20,49,30,20,106,1093,22,20,319,201,105,33,67,66,861,80,143,152,20,20,20,102,41,20,88,20,139,'MED'
204,20,153,111,257,120,831,173,190,100,297,122,303,20,36,59,75,140,515,77,116,167,686,166,52,142,28,981,62,169,259,85,42,48,304,45,86,72,56,278,'MED'
147,20,110,205,66,51,1030,65,253,32,135,274,234,34,27,27,42,147,634,690,100,306,126,43,26,308,31,378,64,275,186,170,45,26,175,81,48,48,20,109,'MED'
320,20,191,233,205,43,927,224,247,58,202,176,285,20,35,69,36,148,534,287,52,239,582,25,51,308,70,626,100,212,219,102,45,52,206,51,92,111,66,152,'MED'
127,20,135,84,108,100,996,387,274,104,372,237,231,20,40,36,40,113,830,96,122,195,534,114,20,70,64,1102,90,152,196,104,28,44,399,54,61,157,49,193,'MED'
131,20,203,136,273,131,713,183,263,76,271,155,193,20,38,72,48,133,467,130,112,224,481,20,49,122,52,387,73,124,111,160,52,40,247,63,71,154,93,160,'MED'
69,36,86,47,84,20,982,100,244,20,205,20,177,20,49,20,20,139,1106,26,22,261,133,88,20,64,74,682,36,84,147,379,20,26,526,68,58,75,20,162,'MED'
63,20,102,22,115,70,799,198,277,60,123,51,166,20,44,54,35,98,842,20,20,248,116,49,20,109,42,747,80,167,137,74,61,47,155,69,31,81,20,114,'MED'
254,20,215,176,221,141,1669,300,232,60,449,309,419,20,36,102,83,132,573,308,130,251,124,23,35,362,47,407,67,331,189,114,46,42,590,51,100,131,45,216,'MED'
70,20,41,214,113,47,883,418,273,67,178,112,116,20,49,45,44,83,576,268,65,325,554,20,20,144,39,699,67,168,148,109,26,64,248,58,33,131,40,149,'MED'
276,20,187,191,197,82,1243,320,229,92,214,106,329,20,39,90,89,126,696,262,88,244,1060,122,23,225,39,874,72,254,204,200,49,59,357,52,27,128,49,191,'MED'
220,20,134,180,148,96,1463,385,203,47,250,196,288,20,32,64,70,88,791,210,109,228,1142,20,55,255,72,872,69,329,208,86,43,40,303,44,77,164,108,122,'MED'
226,20,177,153,277,116,848,353,226,47,216,309,334,20,27,63,97,102,631,175,100,234,577,20,20,237,138,848,64,238,185,92,42,42,339,53,69,147,87,210,'MED'
100,20,116,98,137,94,1087,159,216,141,328,20,127,59,47,59,69,117,819,41,66,212,773,87,41,79,38,1069,71,156,171,129,41,44,496,65,62,169,108,222,'MED'
142,20,172,163,162,97,1150,258,248,35,356,126,334,20,39,35,50,113,751,206,53,262,332,72,20,230,63,786,69,106,200,95,46,37,398,52,126,87,20,250,'MED'
72,36,42,149,110,43,621,97,380,98,73,30,162,25,52,46,70,209,183,121,20,448,47,769,20,91,20,337,123,216,125,91,69,69,184,114,20,101,20,92,'MGL'
136,98,202,235,156,35,478,23,359,47,207,112,190,41,49,84,77,189,250,128,20,454,42,425,20,174,28,276,110,150,103,246,61,61,212,94,68,74,20,76,'MGL'
26,40,179,185,113,40,287,50,373,143,83,121,193,20,52,64,82,198,225,78,54,475,20,331,20,45,20,169,122,759,91,461,56,74,312,98,20,68,20,30,'MGL'
163,99,222,296,169,152,365,64,316,92,237,320,258,53,48,72,117,188,265,165,90,375,20,569,50,198,23,309,110,167,146,302,57,60,515,77,155,90,66,42,'MGL'
68,63,136,214,145,37,388,91,382,130,178,20,173,36,55,65,109,172,167,68,20,508,35,784,38,133,20,486,123,249,138,156,66,70,233,103,20,130,20,81,'MGL'
60,44,85,165,84,21,324,54,349,70,54,47,120,20,52,85,34,176,93,109,20,534,20,315,27,57,20,177,139,239,125,148,64,66,243,95,20,91,20,43,'MGL'
67,84,505,299,100,41,421,53,382,67,108,105,189,73,44,97,74,172,267,84,20,516,20,355,20,150,20,222,119,367,85,403,61,69,168,92,20,65,20,51,'MGL'
320,194,281,569,329,355,545,158,214,78,403,721,401,87,29,151,84,117,452,257,84,209,20,224,73,370,23,607,54,148,64,168,27,39,597,42,222,156,93,119,'RHB'
268,20,197,165,323,230,336,138,204,74,591,1132,497,20,36,116,37,124,275,281,146,236,20,508,58,405,20,108,53,107,102,142,37,26,688,45,415,130,85,63,'RHB'
397,20,340,178,339,412,396,114,216,74,458,924,472,20,36,142,40,90,395,307,100,226,20,20,65,389,21,211,59,96,109,104,45,36,689,46,395,157,72,86,'RHB'
285,20,312,180,347,394,629,164,198,67,553,881,560,20,29,256,101,128,508,303,44,185,20,20,60,390,21,455,58,96,132,104,63,33,663,35,356,229,57,42,'RHB'
425,20,329,209,436,384,644,91,183,67,457,754,569,20,29,143,58,108,515,283,165,211,20,45,45,663,51,261,52,146,110,104,38,27,697,38,353,180,76,58,'RHB'
489,20,292,241,376,429,619,138,147,61,505,1029,577,45,24,180,65,109,404,292,177,172,20,20,97,457,20,54,99,184,75,101,20,40,851,27,403,291,101,38,'RHB'
383,20,306,243,314,284,422,46,216,20,537,739,577,86,25,166,42,84,187,265,158,207,20,20,42,144,20,71,69,147,56,704,31,35,709,49,296,222,134,37,'RHB'
366,20,434,136,221,189,352,108,237,96,208,154,299,104,31,167,45,163,263,94,303,218,20,280,80,390,20,75,65,433,71,323,22,41,451,30,71,231,206,43,'EPD'
323,33,373,159,219,249,340,73,230,106,231,73,339,104,23,142,36,108,226,20,286,179,20,303,69,384,20,46,55,160,92,254,42,37,362,36,81,231,154,56,'EPD'
377,62,582,203,246,243,482,102,171,100,387,416,400,80,20,165,97,128,288,63,202,183,20,165,68,428,22,114,50,145,76,298,27,32,477,34,171,231,298,61,'EPD'
453,23,395,162,251,274,572,72,199,115,458,605,431,33,23,188,108,98,428,102,213,174,20,104,70,538,55,191,41,139,114,383,26,20,541,35,406,274,206,102,'EPD'
483,27,366,176,263,210,773,98,163,111,295,458,459,42,20,209,111,92,608,126,187,134,68,165,73,498,92,434,36,170,129,291,23,22,500,35,256,258,171,141,'EPD'
368,26,537,200,303,339,366,25,191,127,208,120,296,75,27,191,51,142,381,119,177,218,20,296,52,426,20,155,70,411,87,307,30,35,490,35,60,262,243,38,'EPD'
308,24,327,147,221,163,518,80,174,82,316,306,320,67,20,138,70,56,193,62,225,146,20,20,64,330,20,176,62,322,63,378,38,31,509,31,222,183,183,46,'EPD'
342,114,445,321,147,154,661,69,170,253,323,237,389,73,23,217,105,149,329,119,321,224,138,269,64,497,28,323,48,248,112,671,25,20,515,38,162,234,164,93,'EPD'
393,141,579,382,274,96,567,97,161,105,286,353,463,38,20,141,134,118,226,55,259,163,20,228,86,389,20,49,40,281,130,550,27,32,574,36,243,210,121,63,'EPD'
409,89,431,288,222,248,513,103,174,109,463,580,400,193,20,170,113,95,287,88,190,175,20,473,65,363,23,320,41,237,95,559,22,26,586,31,330,170,205,61,'EPD'
239,329,198,686,215,235,562,46,182,228,328,375,512,113,20,221,231,107,301,88,239,188,20,1035,82,340,20,335,57,626,87,976,21,32,534,39,191,219,132,52,'JPA'
297,365,309,766,221,181,526,34,177,266,290,246,467,108,20,240,253,95,343,62,238,195,20,872,63,293,20,352,54,678,89,911,20,35,516,39,179,226,118,47,'JPA'
250,331,249,656,209,160,515,43,223,227,295,257,433,119,23,199,228,118,277,66,230,210,20,874,66,270,20,329,63,593,74,857,24,43,487,42,148,180,101,66,'JPA'
316,396,294,799,173,193,549,38,213,235,390,292,467,123,20,243,220,111,256,83,231,239,20,997,73,328,20,313,59,590,66,781,21,31,649,39,176,229,117,76,'JPA'
171,314,285,641,163,163,600,51,228,220,355,259,354,118,24,237,233,101,271,75,216,251,20,1069,57,315,20,287,63,630,80,887,24,33,561,48,167,209,92,64,'JPA'
247,293,356,737,187,167,492,54,216,236,363,263,402,122,20,209,200,121,228,65,248,272,20,896,64,336,20,269,48,668,78,887,28,39,573,54,181,141,83,69,'JPA'
