0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1159,604,185,235,1434,166,409,104,1046,1137,353,56,43,38,121,197,52,33,190,42,116,72,273,33,181,200,119,253,51,114,334,372,73,89,57,497,170,27,246,201,32,54,156,85,235,20,185,116,131,57,120,20,76,262,76,20,65,20,38,51
1108,908,178,296,1479,178,899,60,870,1025,126,46,34,38,80,267,93,45,305,46,86,73,176,35,305,99,188,214,65,88,595,246,77,35,51,221,73,29,209,95,20,24,118,105,233,20,52,53,173,34,66,20,46,216,52,20,57,29,20,197
740,699,222,270,1182,183,233,113,796,1224,227,53,39,25,114,260,51,41,235,47,109,98,207,41,219,113,67,232,72,149,371,230,110,83,49,372,125,20,91,114,20,52,83,133,353,20,72,54,172,24,85,28,226,296,71,20,46,20,20,160
1443,964,315,278,957,215,597,109,1047,1104,206,42,51,51,97,297,89,42,335,59,90,61,165,54,28,90,99,216,60,36,368,200,47,22,62,231,104,20,179,64,20,22,20,59,222,20,38,37,83,29,35,20,22,192,40,20,20,20,20,88
808,732,120,349,1008,140,1000,109,422,683,183,71,42,45,117,285,73,45,287,67,133,68,244,36,20,72,73,162,46,25,307,181,52,51,25,300,91,20,123,92,23,33,20,25,161,20,38,67,391,32,66,20,45,199,39,20,20,20,20,109
945,830,101,169,435,90,174,121,458,470,90,73,20,43,86,265,81,35,405,70,146,57,222,20,20,105,25,110,20,49,585,105,20,29,22,368,105,20,79,95,24,20,41,53,195,260,20,60,297,33,20,20,42,79,65,20,20,20,20,20
861,1093,152,415,569,139,201,66,357,1005,187,31,20,20,106,249,80,49,319,41,116,105,228,55,113,94,22,250,20,25,102,179,20,33,55,252,65,20,67,78,33,30,20,88,285,20,45,46,20,20,20,20,105,143,20,20,20,20,20,79
981,515,259,173,831,278,686,28,825,1040,205,67,48,42,140,190,62,36,167,45,109,134,250,35,122,257,77,297,86,120,304,303,70,69,72,429,153,56,142,204,52,59,116,72,287,32,242,100,85,75,111,20,166,169,100,20,53,20,80,74
378,634,186,65,1030,109,126,31,488,468,255,32,26,45,147,253,64,27,306,81,117,48,264,20,274,66,690,135,48,51,175,234,62,33,80,409,110,20,308,147,26,27,100,48,290,20,43,38,170,42,205,20,43,275,32,34,40,20,20,37
626,534,219,224,927,152,582,70,512,836,160,41,52,45,148,247,100,35,239,51,131,83,309,30,176,205,287,202,92,43,206,285,76,123,46,437,191,66,308,320,51,69,52,111,182,20,107,91,102,36,233,20,25,212,58,20,68,20,20,35
1102,830,196,387,996,193,534,64,918,966,117,50,44,28,113,274,90,40,195,54,112,38,336,29,237,108,96,372,61,100,399,231,97,62,59,341,135,49,70,127,20,36,122,157,205,20,109,102,104,40,84,20,114,152,104,20,75,20,28,101
387,467,111,183,713,160,481,52,245,605,213,46,40,52,133,263,73,38,224,63,128,113,291,62,155,273,130,271,71,131,247,193,53,74,24,538,203,93,122,131,49,72,112,154,220,20,176,117,160,48,136,20,20,124,76,20,34,20,20,112
682,1106,147,100,982,162,133,74,407,1352,193,49,26,20,139,244,36,49,261,68,118,82,172,20,20,84,26,205,58,20,526,177,35,37,25,298,86,20,64,69,20,20,22,75,231,20,58,36,379,20,47,36,88,84,20,20,20,20,20,171
747,842,137,198,799,114,116,42,541,1281,175,53,47,61,98,277,80,44,248,69,84,74,145,52,51,115,20,123,31,70,155,166,43,74,45,302,102,20,109,63,20,54,20,81,211,20,34,79,74,35,22,20,49,167,60,20,20,20,20,218
407,573,189,300,1669,216,124,47,373,687,172,34,42,46,132,232,67,36,251,51,90,72,255,22,309,221,308,449,100,141,590,419,163,75,110,657,215,45,362,254,35,102,130,131,202,20,197,101,114,83,176,20,23,331,60,20,68,20,71,100
699,576,148,418,883,149,554,39,620,626,207,41,64,26,83,273,67,49,325,58,134,119,314,35,112,113,268,178,33,47,248,116,27,60,20,259,41,40,144,70,20,45,65,131,90,20,101,60,109,44,214,20,20,168,67,20,74,20,20,101
874,696,204,320,1243,191,1060,39,465,810,224,58,59,49,126,229,72,39,244,52,99,73,299,37,106,197,262,214,27,82,357,329,91,46,32,360,187,49,225,276,23,90,88,128,252,20,210,91,200,89,191,20,122,254,92,20,64,44,44,188
872,791,208,385,1463,122,1142,72,537,1330,241,58,40,43,88,203,69,32,228,44,81,77,258,32,196,148,210,250,77,96,303,288,61,43,29,380,134,108,255,220,55,64,109,164,200,20,146,73,86,70,180,20,20,329,47,20,59,21,20,132
848,631,185,353,848,210,577,138,648,1082,140,55,42,42,102,226,64,27,234,53,99,96,263,47,309,277,175,216,69,116,339,334,66,42,25,401,177,87,237,226,20,63,100,147,215,20,129,88,92,97,153,20,20,238,47,20,75,20,20,95
1069,819,171,159,1087,222,773,38,662,1614,214,49,44,41,117,216,71,47,212,65,113,62,358,43,20,137,41,328,62,94,496,127,56,62,26,369,116,108,79,100,41,59,66,169,427,20,334,128,129,69,98,20,87,156,141,59,64,20,55,169
786,751,200,258,1150,250,332,63,1030,1094,232,76,37,46,113,248,69,39,262,52,117,80,294,39,126,162,206,356,126,97,398,334,107,23,49,412,172,20,230,142,20,35,53,87,254,20,129,67,95,50,163,20,72,106,35,20,55,20,20,124
337,183,125,97,621,92,47,20,235,282,77,34,69,69,209,380,123,52,448,114,146,117,323,71,30,110,121,73,20,43,184,162,20,24,35,186,42,20,91,72,20,46,20,101,190,20,96,81,91,70,149,36,769,216,98,25,35,20,20,321
276,250,103,23,478,76,42,28,245,147,78,36,61,61,189,359,110,49,454,94,144,127,321,62,112,156,128,207,68,35,212,190,48,101,37,328,202,20,174,136,20,84,20,74,173,20,127,143,246,77,235,98,425,150,47,41,43,33,20,581
169,225,91,50,287,30,20,20,209,22,92,21,74,56,198,373,122,52,475,98,128,120,307,77,121,113,78,83,20,40,312,193,31,77,30,268,179,20,45,26,20,64,54,68,148,350,102,186,461,82,185,40,331,759,143,20,115,77,20,481
309,265,146,64,365,42,20,23,401,159,115,26,60,57,188,316,110,48,375,77,133,127,305,57,320,169,165,237,155,152,515,258,49,147,56,404,222,66,198,163,50,72,90,90,233,20,131,149,302,117,296,99,569,167,92,53,77,45,20,438
486,167,138,91,388,81,35,20,192,131,91,27,70,66,172,382,123,55,508,103,138,135,327,76,20,145,68,178,20,37,233,173,29,49,37,245,136,20,133,68,38,65,20,130,239,20,138,166,156,109,214,63,784,249,130,36,54,55,20,493
177,93,125,54,324,43,20,20,154,45,100,46,66,64,176,349,139,52,534,95,148,134,360,65,47,84,109,54,20,21,243,120,26,25,20,233,85,20,57,60,27,85,20,91,156,20,106,20,148,34,165,44,315,239,70,20,27,88,20,656
222,267,85,53,421,51,20,20,128,139,163,36,69,61,172,382,119,44,516,92,130,118,346,71,105,100,84,108,20,41,168,189,44,78,20,266,505,20,150,67,20,97,20,65,130,20,131,151,403,74,299,84,355,367,67,73,54,167,22,270
607,452,64,158,545,119,20,23,229,538,123,22,39,27,117,214,54,29,209,42,96,107,228,21,721,329,257,403,222,355,597,401,134,216,73,837,281,93,370,320,73,151,84,156,295,25,272,160,168,84,569,194,224,148,78,87,126,33,28,292
108,275,102,138,336,63,20,20,215,97,102,20,26,37,124,204,53,36,236,45,122,96,226,33,1132,323,281,591,415,230,688,497,149,314,67,903,197,85,405,268,58,116,146,130,303,20,231,112,142,37,165,20,508,107,74,20,108,20,20,336
211,395,109,114,396,86,20,21,370,222,86,20,36,45,90,216,59,36,226,46,104,134,218,24,924,339,307,458,395,412,689,472,144,286,70,723,340,72,389,397,65,142,100,157,321,20,225,137,104,40,178,20,20,96,74,20,102,20,39,41
455,508,132,164,629,42,20,21,514,651,154,20,33,63,128,198,58,29,185,35,94,87,195,27,881,347,303,553,356,394,663,560,177,213,76,793,312,57,390,285,60,256,44,229,451,20,250,94,104,101,180,20,20,96,67,20,110,30,20,94
261,515,110,91,644,58,20,51,390,1245,104,20,27,38,108,183,52,29,211,38,123,79,235,25,754,436,283,457,353,384,697,569,186,251,71,1190,329,76,663,425,45,143,165,180,315,20,189,94,104,58,209,20,45,146,67,20,96,20,20,79
54,404,75,138,619,38,20,20,295,894,132,20,40,20,109,147,99,24,172,27,84,108,234,20,1029,376,292,505,403,429,851,577,167,255,64,870,292,101,457,489,97,180,177,291,493,87,221,148,101,65,241,20,20,184,61,45,130,20,73,245
71,187,56,46,422,37,20,20,299,716,139,28,35,31,84,216,69,25,207,49,119,121,284,25,739,314,265,537,296,284,709,577,129,212,67,1085,306,134,144,383,42,166,158,222,184,66,176,102,704,42,243,20,20,147,20,86,143,20,20,50
75,263,71,108,352,43,20,20,170,132,135,25,41,22,163,237,65,31,218,30,89,70,256,32,154,221,94,208,71,189,451,299,58,145,41,821,434,206,390,366,80,167,303,231,425,71,348,252,323,45,136,20,280,433,96,104,62,67,27,710
46,226,92,73,340,56,20,20,261,159,135,37,37,42,108,230,55,23,179,36,72,86,231,39,73,219,20,231,81,249,362,339,60,352,50,577,373,154,384,323,69,142,286,231,411,129,356,258,254,36,159,33,303,160,106,104,57,134,46,885
114,288,76,102,482,61,20,22,157,412,115,30,32,27,128,171,50,20,183,34,76,100,216,32,416,246,63,387,171,243,477,400,73,149,42,706,582,298,428,377,68,165,202,231,403,151,254,233,298,97,203,62,165,145,100,80,100,72,175,580
191,428,114,72,572,102,20,55,252,614,110,24,20,26,98,199,41,23,174,35,90,23,201,30,605,251,102,458,406,274,541,431,113,274,64,719,395,206,538,453,70,188,213,274,379,97,263,172,383,108,162,23,104,139,115,33,101,47,69,403
434,608,129,98,773,141,68,92,211,694,117,34,22,23,92,163,36,20,134,35,75,51,192,31,458,263,126,295,256,210,500,459,155,239,65,707,366,171,498,483,73,209,187,258,383,98,331,163,291,111,176,27,165,170,111,42,93,26,93,504
155,381,87,25,366,38,20,20,69,454,131,38,35,30,142,191,70,27,218,35,99,35,234,32,120,303,119,208,60,339,490,296,96,231,38,611,537,243,426,368,52,191,177,262,417,123,339,220,307,51,200,26,296,411,127,75,57,52,25,441
176,193,63,80,518,46,20,20,174,504,126,37,31,38,56,174,62,20,146,31,100,191,242,28,306,221,62,316,222,163,509,320,99,252,43,849,327,183,330,308,64,138,225,183,313,90,282,199,378,70,147,24,20,322,82,67,79,20,98,579
323,329,112,69,661,93,138,28,228,561,113,32,20,25,149,170,48,23,224,38,94,35,222,33,237,147,119,323,162,154,515,389,118,247,63,740,445,164,497,342,64,217,321,234,342,135,233,249,671,105,321,114,269,248,253,73,138,114,91,935
49,226,130,97,567,63,20,20,369,71,92,26,32,27,118,161,40,20,163,36,69,85,189,28,353,274,55,286,243,96,574,463,80,330,67,581,579,121,389,393,86,141,259,210,401,111,272,184,550,134,382,141,228,281,105,38,102,87,165,876
320,287,95,103,513,61,20,23,239,498,94,26,26,22,95,174,41,20,175,31,104,84,183,25,580,222,88,463,330,248,586,400,141,261,59,659,431,205,363,409,65,170,190,170,306,97,225,205,559,113,288,89,473,237,109,193,191,85,121,498
335,301,87,46,562,52,20,20,389,139,67,38,32,21,107,182,57,20,188,39,77,63,202,27,375,215,88,328,191,235,534,512,86,195,72,597,198,132,340,239,82,221,239,219,339,20,302,295,976,231,686,329,1035,626,228,113,186,196,135,932
352,343,89,34,526,47,20,20,311,173,71,31,35,20,95,177,54,20,195,39,70,71,209,28,246,221,62,290,179,181,516,467,137,213,65,545,309,118,293,297,63,240,238,226,327,47,257,316,911,253,766,365,872,678,266,108,174,239,155,992
329,277,74,43,515,66,20,20,267,92,92,35,43,24,118,223,63,23,210,42,98,123,239,39,257,209,66,295,148,160,487,433,119,224,59,591,249,101,270,250,66,199,230,180,292,22,255,277,857,228,656,331,874,593,227,119,166,192,157,843
313,256,66,38,549,76,20,20,324,116,73,38,31,21,111,213,59,20,239,39,73,64,217,27,292,173,83,390,176,193,649,467,108,150,72,574,294,117,328,316,73,243,231,229,317,52,260,253,781,220,799,396,997,590,235,123,182,197,142,859
287,271,80,51,600,64,20,20,357,304,99,36,33,24,101,228,63,24,251,48,78,67,222,38,259,163,75,355,167,163,561,354,115,163,60,574,285,92,315,171,57,237,216,209,348,20,236,241,887,233,641,314,1069,630,220,118,170,214,160,858
269,228,78,54,492,69,20,20,329,50,74,33,39,28,121,216,48,20,272,54,76,99,209,36,263,187,65,363,181,167,573,402,164,233,53,599,356,83,336,247,64,209,248,141,315,48,273,303,887,200,737,293,896,668,236,122,197,248,143,826
