@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D45248_at integer
@attribute D50310_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute L25270_at integer
@attribute L36818_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute M93426_at integer
@attribute U06155_at integer
@attribute U07550_at integer
@attribute U16954_at integer
@attribute U17760_rna1_at integer
@attribute U51336_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X54304_at integer
@attribute X76105_at integer
@attribute Z69915_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
127,20,135,84,108,100,996,387,274,372,237,40,36,40,113,830,96,114,20,70,1102,90,152,196,104,28,44,61,49,193,'MED'
131,20,203,136,273,131,713,183,263,271,155,38,72,48,133,467,130,20,49,122,387,73,124,111,160,52,40,71,93,160,'MED'
69,36,86,47,84,20,982,100,244,205,20,49,20,20,139,1106,26,88,20,64,682,36,84,147,379,20,26,58,20,162,'MED'
63,20,102,22,115,70,799,198,277,123,51,44,54,35,98,842,20,49,20,109,747,80,167,137,74,61,47,31,20,114,'MED'
254,20,215,176,221,141,1669,300,232,449,309,36,102,83,132,573,308,23,35,362,407,67,331,189,114,46,42,100,45,216,'MED'
70,20,41,214,113,47,883,418,273,178,112,49,45,44,83,576,268,20,20,144,699,67,168,148,109,26,64,33,40,149,'MED'
276,20,187,191,197,82,1243,320,229,214,106,39,90,89,126,696,262,122,23,225,874,72,254,204,200,49,59,27,49,191,'MED'
220,20,134,180,148,96,1463,385,203,250,196,32,64,70,88,791,210,20,55,255,872,69,329,208,86,43,40,77,108,122,'MED'
226,20,177,153,277,116,848,353,226,216,309,27,63,97,102,631,175,20,20,237,848,64,238,185,92,42,42,69,87,210,'MED'
100,20,116,98,137,94,1087,159,216,328,20,47,59,69,117,819,41,87,41,79,1069,71,156,171,129,41,44,62,108,222,'MED'
142,20,172,163,162,97,1150,258,248,356,126,39,35,50,113,751,206,72,20,230,786,69,106,200,95,46,37,126,20,250,'MED'
72,36,42,149,110,43,621,97,380,73,30,52,46,70,209,183,121,769,20,91,337,123,216,125,91,69,69,20,20,92,'MGL'
136,98,202,235,156,35,478,23,359,207,112,49,84,77,189,250,128,425,20,174,276,110,150,103,246,61,61,68,20,76,'MGL'
26,40,179,185,113,40,287,50,373,83,121,52,64,82,198,225,78,331,20,45,169,122,759,91,461,56,74,20,20,30,'MGL'
163,99,222,296,169,152,365,64,316,237,320,48,72,117,188,265,165,569,50,198,309,110,167,146,302,57,60,155,66,42,'MGL'
68,63,136,214,145,37,388,91,382,178,20,55,65,109,172,167,68,784,38,133,486,123,249,138,156,66,70,20,20,81,'MGL'
60,44,85,165,84,21,324,54,349,54,47,52,85,34,176,93,109,315,27,57,177,139,239,125,148,64,66,20,20,43,'MGL'
67,84,505,299,100,41,421,53,382,108,105,44,97,74,172,267,84,355,20,150,222,119,367,85,403,61,69,20,20,51,'MGL'
320,194,281,569,329,355,545,158,214,403,721,29,151,84,117,452,257,224,73,370,607,54,148,64,168,27,39,222,93,119,'RHB'
268,20,197,165,323,230,336,138,204,591,1132,36,116,37,124,275,281,508,58,405,108,53,107,102,142,37,26,415,85,63,'RHB'
397,20,340,178,339,412,396,114,216,458,924,36,142,40,90,395,307,20,65,389,211,59,96,109,104,45,36,395,72,86,'RHB'
285,20,312,180,347,394,629,164,198,553,881,29,256,101,128,508,303,20,60,390,455,58,96,132,104,63,33,356,57,42,'RHB'
425,20,329,209,436,384,644,91,183,457,754,29,143,58,108,515,283,45,45,663,261,52,146,110,104,38,27,353,76,58,'RHB'
489,20,292,241,376,429,619,138,147,505,1029,24,180,65,109,404,292,20,97,457,54,99,184,75,101,20,40,403,101,38,'RHB'
383,20,306,243,314,284,422,46,216,537,739,25,166,42,84,187,265,20,42,144,71,69,147,56,704,31,35,296,134,37,'RHB'
366,20,434,136,221,189,352,108,237,208,154,31,167,45,163,263,94,280,80,390,75,65,433,71,323,22,41,71,206,43,'EPD'
323,33,373,159,219,249,340,73,230,231,73,23,142,36,108,226,20,303,69,384,46,55,160,92,254,42,37,81,154,56,'EPD'
377,62,582,203,246,243,482,102,171,387,416,20,165,97,128,288,63,165,68,428,114,50,145,76,298,27,32,171,298,61,'EPD'
453,23,395,162,251,274,572,72,199,458,605,23,188,108,98,428,102,104,70,538,191,41,139,114,383,26,20,406,206,102,'EPD'
483,27,366,176,263,210,773,98,163,295,458,20,209,111,92,608,126,165,73,498,434,36,170,129,291,23,22,256,171,141,'EPD'
368,26,537,200,303,339,366,25,191,208,120,27,191,51,142,381,119,296,52,426,155,70,411,87,307,30,35,60,243,38,'EPD'
308,24,327,147,221,163,518,80,174,316,306,20,138,70,56,193,62,20,64,330,176,62,322,63,378,38,31,222,183,46,'EPD'
342,114,445,321,147,154,661,69,170,323,237,23,217,105,149,329,119,269,64,497,323,48,248,112,671,25,20,162,164,93,'EPD'
393,141,579,382,274,96,567,97,161,286,353,20,141,134,118,226,55,228,86,389,49,40,281,130,550,27,32,243,121,63,'EPD'
409,89,431,288,222,248,513,103,174,463,580,20,170,113,95,287,88,473,65,363,320,41,237,95,559,22,26,330,205,61,'EPD'
239,329,198,686,215,235,562,46,182,328,375,20,221,231,107,301,88,1035,82,340,335,57,626,87,976,21,32,191,132,52,'JPA'
297,365,309,766,221,181,526,34,177,290,246,20,240,253,95,343,62,872,63,293,352,54,678,89,911,20,35,179,118,47,'JPA'
250,331,249,656,209,160,515,43,223,295,257,23,199,228,118,277,66,874,66,270,329,63,593,74,857,24,43,148,101,66,'JPA'
316,396,294,799,173,193,549,38,213,390,292,20,243,220,111,256,83,997,73,328,313,59,590,66,781,21,31,176,117,76,'JPA'
171,314,285,641,163,163,600,51,228,355,259,24,237,233,101,271,75,1069,57,315,287,63,630,80,887,24,33,167,92,64,'JPA'
247,293,356,737,187,167,492,54,216,363,263,20,209,200,121,228,65,896,64,336,269,48,668,78,887,28,39,181,83,69,'JPA'
