@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14043_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D45248_at integer
@attribute D50310_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute D87470_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute L06132_at integer
@attribute L08895_at integer
@attribute L25270_at integer
@attribute L36818_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute M75099_at integer
@attribute M83308_at integer
@attribute M93119_at integer
@attribute M93426_at integer
@attribute U06155_at integer
@attribute U07550_at integer
@attribute U09087_s_at integer
@attribute U16954_at integer
@attribute U17760_rna1_at integer
@attribute U30521_at integer
@attribute U33818_at integer
@attribute U51336_at integer
@attribute U66879_at integer
@attribute U70321_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute U90916_at integer
@attribute U91930_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X03066_at integer
@attribute X04106_at integer
@attribute X52011_at integer
@attribute X54304_at integer
@attribute X61587_at integer
@attribute X65784_s_at integer
@attribute X73358_s_at integer
@attribute X76105_at integer
@attribute Z69915_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
147,20,33,110,205,66,51,1030,65,253,32,135,274,234,34,27,27,42,147,634,690,100,306,126,43,26,308,31,378,64,468,62,275,20,48,186,170,20,290,45,26,117,175,81,48,40,48,488,20,109,'MED'
320,20,123,191,233,205,43,927,224,247,58,202,176,285,20,35,69,36,148,534,287,52,239,582,25,51,308,70,626,100,836,76,212,20,83,219,102,20,182,45,52,131,206,51,92,68,111,512,66,152,'MED'
127,20,62,135,84,108,100,996,387,274,104,372,237,231,20,40,36,40,113,830,96,122,195,534,114,20,70,64,1102,90,966,97,152,20,38,196,104,20,205,28,44,112,399,54,61,75,157,918,49,193,'MED'
131,20,74,203,136,273,131,713,183,263,76,271,155,193,20,38,72,48,133,467,130,112,224,481,20,49,122,52,387,73,605,53,124,20,113,111,160,20,220,52,40,128,247,63,71,34,154,245,93,160,'MED'
69,36,37,86,47,84,20,982,100,244,20,205,20,177,20,49,20,20,139,1106,26,22,261,133,88,20,64,74,682,36,1352,35,84,20,82,147,379,20,231,20,26,118,526,68,58,20,75,407,20,162,'MED'
63,20,74,102,22,115,70,799,198,277,60,123,51,166,20,44,54,35,98,842,20,20,248,116,49,20,109,42,747,80,1281,43,167,20,74,137,74,20,211,61,47,84,155,69,31,20,81,541,20,114,'MED'
254,20,75,215,176,221,141,1669,300,232,60,449,309,419,20,36,102,83,132,573,308,130,251,124,23,35,362,47,407,67,687,163,331,20,72,189,114,20,202,46,42,90,590,51,100,68,131,373,45,216,'MED'
70,20,60,41,214,113,47,883,418,273,67,178,112,116,20,49,45,44,83,576,268,65,325,554,20,20,144,39,699,67,626,27,168,20,119,148,109,20,90,26,64,134,248,58,33,74,131,620,40,149,'MED'
276,20,46,187,191,197,82,1243,320,229,92,214,106,329,20,39,90,89,126,696,262,88,244,1060,122,23,225,39,874,72,810,91,254,20,73,204,200,44,252,49,59,99,357,52,27,64,128,465,49,191,'MED'
220,20,43,134,180,148,96,1463,385,203,47,250,196,288,20,32,64,70,88,791,210,109,228,1142,20,55,255,72,872,69,1330,61,329,20,77,208,86,21,200,43,40,81,303,44,77,59,164,537,108,122,'MED'
226,20,42,177,153,277,116,848,353,226,47,216,309,334,20,27,63,97,102,631,175,100,234,577,20,20,237,138,848,64,1082,66,238,20,96,185,92,20,215,42,42,99,339,53,69,75,147,648,87,210,'MED'
100,20,62,116,98,137,94,1087,159,216,141,328,20,127,59,47,59,69,117,819,41,66,212,773,87,41,79,38,1069,71,1614,56,156,20,62,171,129,20,427,41,44,113,496,65,62,64,169,662,108,222,'MED'
142,20,23,172,163,162,97,1150,258,248,35,356,126,334,20,39,35,50,113,751,206,53,262,332,72,20,230,63,786,69,1094,107,106,20,80,200,95,20,254,46,37,117,398,52,126,55,87,1030,20,250,'MED'
72,36,24,42,149,110,43,621,97,380,98,73,30,162,25,52,46,70,209,183,121,20,448,47,769,20,91,20,337,123,282,20,216,20,117,125,91,20,190,69,69,146,184,114,20,35,101,235,20,92,'MGL'
136,98,101,202,235,156,35,478,23,359,47,207,112,190,41,49,84,77,189,250,128,20,454,42,425,20,174,28,276,110,147,48,150,20,127,103,246,33,173,61,61,144,212,94,68,43,74,245,20,76,'MGL'
26,40,77,179,185,113,40,287,50,373,143,83,121,193,20,52,64,82,198,225,78,54,475,20,331,20,45,20,169,122,22,31,759,350,120,91,461,77,148,56,74,128,312,98,20,115,68,209,20,30,'MGL'
163,99,147,222,296,169,152,365,64,316,92,237,320,258,53,48,72,117,188,265,165,90,375,20,569,50,198,23,309,110,159,49,167,20,127,146,302,45,233,57,60,133,515,77,155,77,90,401,66,42,'MGL'
68,63,49,136,214,145,37,388,91,382,130,178,20,173,36,55,65,109,172,167,68,20,508,35,784,38,133,20,486,123,131,29,249,20,135,138,156,55,239,66,70,138,233,103,20,54,130,192,20,81,'MGL'
60,44,25,85,165,84,21,324,54,349,70,54,47,120,20,52,85,34,176,93,109,20,534,20,315,27,57,20,177,139,45,26,239,20,134,125,148,88,156,64,66,148,243,95,20,27,91,154,20,43,'MGL'
67,84,78,505,299,100,41,421,53,382,67,108,105,189,73,44,97,74,172,267,84,20,516,20,355,20,150,20,222,119,139,44,367,20,118,85,403,167,130,61,69,130,168,92,20,54,65,128,20,51,'MGL'
320,194,216,281,569,329,355,545,158,214,78,403,721,401,87,29,151,84,117,452,257,84,209,20,224,73,370,23,607,54,538,134,148,25,107,64,168,33,295,27,39,96,597,42,222,126,156,229,93,119,'RHB'
268,20,314,197,165,323,230,336,138,204,74,591,1132,497,20,36,116,37,124,275,281,146,236,20,508,58,405,20,108,53,97,149,107,20,96,102,142,20,303,37,26,122,688,45,415,108,130,215,85,63,'RHB'
397,20,286,340,178,339,412,396,114,216,74,458,924,472,20,36,142,40,90,395,307,100,226,20,20,65,389,21,211,59,222,144,96,20,134,109,104,20,321,45,36,104,689,46,395,102,157,370,72,86,'RHB'
285,20,213,312,180,347,394,629,164,198,67,553,881,560,20,29,256,101,128,508,303,44,185,20,20,60,390,21,455,58,651,177,96,20,87,132,104,30,451,63,33,94,663,35,356,110,229,514,57,42,'RHB'
425,20,251,329,209,436,384,644,91,183,67,457,754,569,20,29,143,58,108,515,283,165,211,20,45,45,663,51,261,52,1245,186,146,20,79,110,104,20,315,38,27,123,697,38,353,96,180,390,76,58,'RHB'
489,20,255,292,241,376,429,619,138,147,61,505,1029,577,45,24,180,65,109,404,292,177,172,20,20,97,457,20,54,99,894,167,184,87,108,75,101,20,493,20,40,84,851,27,403,130,291,295,101,38,'RHB'
383,20,212,306,243,314,284,422,46,216,20,537,739,577,86,25,166,42,84,187,265,158,207,20,20,42,144,20,71,69,716,129,147,66,121,56,704,20,184,31,35,119,709,49,296,143,222,299,134,37,'RHB'
366,20,145,434,136,221,189,352,108,237,96,208,154,299,104,31,167,45,163,263,94,303,218,20,280,80,390,20,75,65,132,58,433,71,70,71,323,67,425,22,41,89,451,30,71,62,231,170,206,43,'EPD'
323,33,352,373,159,219,249,340,73,230,106,231,73,339,104,23,142,36,108,226,20,286,179,20,303,69,384,20,46,55,159,60,160,129,86,92,254,134,411,42,37,72,362,36,81,57,231,261,154,56,'EPD'
377,62,149,582,203,246,243,482,102,171,100,387,416,400,80,20,165,97,128,288,63,202,183,20,165,68,428,22,114,50,412,73,145,151,100,76,298,72,403,27,32,76,477,34,171,100,231,157,298,61,'EPD'
453,23,274,395,162,251,274,572,72,199,115,458,605,431,33,23,188,108,98,428,102,213,174,20,104,70,538,55,191,41,614,113,139,97,23,114,383,47,379,26,20,90,541,35,406,101,274,252,206,102,'EPD'
483,27,239,366,176,263,210,773,98,163,111,295,458,459,42,20,209,111,92,608,126,187,134,68,165,73,498,92,434,36,694,155,170,98,51,129,291,26,383,23,22,75,500,35,256,93,258,211,171,141,'EPD'
368,26,231,537,200,303,339,366,25,191,127,208,120,296,75,27,191,51,142,381,119,177,218,20,296,52,426,20,155,70,454,96,411,123,35,87,307,52,417,30,35,99,490,35,60,57,262,69,243,38,'EPD'
308,24,252,327,147,221,163,518,80,174,82,316,306,320,67,20,138,70,56,193,62,225,146,20,20,64,330,20,176,62,504,99,322,90,191,63,378,20,313,38,31,100,509,31,222,79,183,174,183,46,'EPD'
342,114,247,445,321,147,154,661,69,170,253,323,237,389,73,23,217,105,149,329,119,321,224,138,269,64,497,28,323,48,561,118,248,135,35,112,671,114,342,25,20,94,515,38,162,138,234,228,164,93,'EPD'
393,141,330,579,382,274,96,567,97,161,105,286,353,463,38,20,141,134,118,226,55,259,163,20,228,86,389,20,49,40,71,80,281,111,85,130,550,87,401,27,32,69,574,36,243,102,210,369,121,63,'EPD'
409,89,261,431,288,222,248,513,103,174,109,463,580,400,193,20,170,113,95,287,88,190,175,20,473,65,363,23,320,41,498,141,237,97,84,95,559,85,306,22,26,104,586,31,330,191,170,239,205,61,'EPD'
239,329,195,198,686,215,235,562,46,182,228,328,375,512,113,20,221,231,107,301,88,239,188,20,1035,82,340,20,335,57,139,86,626,20,63,87,976,196,339,21,32,77,534,39,191,186,219,389,132,52,'JPA'
297,365,213,309,766,221,181,526,34,177,266,290,246,467,108,20,240,253,95,343,62,238,195,20,872,63,293,20,352,54,173,137,678,47,71,89,911,239,327,20,35,70,516,39,179,174,226,311,118,47,'JPA'
250,331,224,249,656,209,160,515,43,223,227,295,257,433,119,23,199,228,118,277,66,230,210,20,874,66,270,20,329,63,92,119,593,22,123,74,857,192,292,24,43,98,487,42,148,166,180,267,101,66,'JPA'
316,396,150,294,799,173,193,549,38,213,235,390,292,467,123,20,243,220,111,256,83,231,239,20,997,73,328,20,313,59,116,108,590,52,64,66,781,197,317,21,31,73,649,39,176,182,229,324,117,76,'JPA'
171,314,163,285,641,163,163,600,51,228,220,355,259,354,118,24,237,233,101,271,75,216,251,20,1069,57,315,20,287,63,304,115,630,20,67,80,887,214,348,24,33,78,561,48,167,170,209,357,92,64,'JPA'
247,293,233,356,737,187,167,492,54,216,236,363,263,402,122,20,209,200,121,228,65,248,272,20,896,64,336,20,269,48,50,164,668,48,99,78,887,248,315,28,39,76,573,54,181,197,141,329,83,69,'JPA'
