@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14043_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D45248_at integer
@attribute D50310_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute D87470_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute L06132_at integer
@attribute L08895_at integer
@attribute L25270_at integer
@attribute L36463_at integer
@attribute L36818_at integer
@attribute L37792_at integer
@attribute L43338_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute M75099_at integer
@attribute M83308_at integer
@attribute M93119_at integer
@attribute M93426_at integer
@attribute S79873_s_at integer
@attribute U01923_at integer
@attribute U06155_at integer
@attribute U07550_at integer
@attribute U09087_s_at integer
@attribute U16954_at integer
@attribute U17760_rna1_at integer
@attribute U30521_at integer
@attribute U33818_at integer
@attribute U48705_rna1_s_at integer
@attribute U51336_at integer
@attribute U66879_at integer
@attribute U70321_at integer
@attribute U79248_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute U90916_at integer
@attribute U91930_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X03066_at integer
@attribute X04106_at integer
@attribute X15187_at integer
@attribute X52011_at integer
@attribute X54304_at integer
@attribute X60188_at integer
@attribute X61587_at integer
@attribute X65784_s_at integer
@attribute X73358_s_at integer
@attribute X76105_at integer
@attribute Z69915_at integer
@attribute Z97074_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
204,20,69,153,111,257,120,831,173,190,100,297,122,303,20,36,250,59,205,35,75,140,515,77,116,167,686,166,100,242,52,142,28,981,62,1040,70,74,169,32,134,67,259,85,20,287,42,48,109,304,429,45,86,80,53,72,825,56,278,72,'MED'
147,20,33,110,205,66,51,1030,65,253,32,135,274,234,34,27,264,27,255,20,42,147,634,690,100,306,126,43,38,43,26,308,31,378,64,468,62,37,275,20,48,32,186,170,20,290,45,26,117,175,409,81,48,20,40,48,488,20,109,80,'MED'
320,20,123,191,233,205,43,927,224,247,58,202,176,285,20,35,309,69,160,30,36,148,534,287,52,239,582,25,91,107,51,308,70,626,100,836,76,35,212,20,83,41,219,102,20,182,45,52,131,206,437,51,92,20,68,111,512,66,152,46,'MED'
127,20,62,135,84,108,100,996,387,274,104,372,237,231,20,40,336,36,117,29,40,113,830,96,122,195,534,114,102,109,20,70,64,1102,90,966,97,101,152,20,38,50,196,104,20,205,28,44,112,399,341,54,61,28,75,157,918,49,193,59,'MED'
131,20,74,203,136,273,131,713,183,263,76,271,155,193,20,38,291,72,213,62,48,133,467,130,112,224,481,20,117,176,49,122,52,387,73,605,53,112,124,20,113,46,111,160,20,220,52,40,128,247,538,63,71,20,34,154,245,93,160,24,'MED'
69,36,37,86,47,84,20,982,100,244,20,205,20,177,20,49,172,20,193,20,20,139,1106,26,22,261,133,88,36,58,20,64,74,682,36,1352,35,171,84,20,82,49,147,379,20,231,20,26,118,526,298,68,58,20,20,75,407,20,162,25,'MED'
63,20,74,102,22,115,70,799,198,277,60,123,51,166,20,44,145,54,175,52,35,98,842,20,20,248,116,49,79,34,20,109,42,747,80,1281,43,218,167,20,74,53,137,74,20,211,61,47,84,155,302,69,31,20,20,81,541,20,114,45,'MED'
254,20,75,215,176,221,141,1669,300,232,60,449,309,419,20,36,255,102,172,22,83,132,573,308,130,251,124,23,101,197,35,362,47,407,67,687,163,100,331,20,72,34,189,114,20,202,46,42,90,590,657,51,100,71,68,131,373,45,216,110,'MED'
70,20,60,41,214,113,47,883,418,273,67,178,112,116,20,49,314,45,207,35,44,83,576,268,65,325,554,20,60,101,20,144,39,699,67,626,27,101,168,20,119,41,148,109,20,90,26,64,134,248,259,58,33,20,74,131,620,40,149,20,'MED'
276,20,46,187,191,197,82,1243,320,229,92,214,106,329,20,39,299,90,224,37,89,126,696,262,88,244,1060,122,91,210,23,225,39,874,72,810,91,188,254,20,73,58,204,200,44,252,49,59,99,357,360,52,27,44,64,128,465,49,191,32,'MED'
220,20,43,134,180,148,96,1463,385,203,47,250,196,288,20,32,258,64,241,32,70,88,791,210,109,228,1142,20,73,146,55,255,72,872,69,1330,61,132,329,20,77,58,208,86,21,200,43,40,81,303,380,44,77,20,59,164,537,108,122,29,'MED'
226,20,42,177,153,277,116,848,353,226,47,216,309,334,20,27,263,63,140,47,97,102,631,175,100,234,577,20,88,129,20,237,138,848,64,1082,66,95,238,20,96,55,185,92,20,215,42,42,99,339,401,53,69,20,75,147,648,87,210,25,'MED'
100,20,62,116,98,137,94,1087,159,216,141,328,20,127,59,47,358,59,214,43,69,117,819,41,66,212,773,87,128,334,41,79,38,1069,71,1614,56,169,156,20,62,49,171,129,20,427,41,44,113,496,369,65,62,55,64,169,662,108,222,26,'MED'
142,20,23,172,163,162,97,1150,258,248,35,356,126,334,20,39,294,35,232,39,50,113,751,206,53,262,332,72,67,129,20,230,63,786,69,1094,107,124,106,20,80,76,200,95,20,254,46,37,117,398,412,52,126,20,55,87,1030,20,250,49,'MED'
72,36,24,42,149,110,43,621,97,380,98,73,30,162,25,52,323,46,77,71,70,209,183,121,20,448,47,769,81,96,20,91,20,337,123,282,20,321,216,20,117,34,125,91,20,190,69,69,146,184,186,114,20,20,35,101,235,20,92,35,'MGL'
136,98,101,202,235,156,35,478,23,359,47,207,112,190,41,49,321,84,78,62,77,189,250,128,20,454,42,425,143,127,20,174,28,276,110,147,48,581,150,20,127,36,103,246,33,173,61,61,144,212,328,94,68,20,43,74,245,20,76,37,'MGL'
26,40,77,179,185,113,40,287,50,373,143,83,121,193,20,52,307,64,92,77,82,198,225,78,54,475,20,331,186,102,20,45,20,169,122,22,31,481,759,350,120,21,91,461,77,148,56,74,128,312,268,98,20,20,115,68,209,20,30,30,'MGL'
163,99,147,222,296,169,152,365,64,316,92,237,320,258,53,48,305,72,115,57,117,188,265,165,90,375,20,569,149,131,50,198,23,309,110,159,49,438,167,20,127,26,146,302,45,233,57,60,133,515,404,77,155,20,77,90,401,66,42,56,'MGL'
68,63,49,136,214,145,37,388,91,382,130,178,20,173,36,55,327,65,91,76,109,172,167,68,20,508,35,784,166,138,38,133,20,486,123,131,29,493,249,20,135,27,138,156,55,239,66,70,138,233,245,103,20,20,54,130,192,20,81,37,'MGL'
60,44,25,85,165,84,21,324,54,349,70,54,47,120,20,52,360,85,100,65,34,176,93,109,20,534,20,315,20,106,27,57,20,177,139,45,26,656,239,20,134,46,125,148,88,156,64,66,148,243,233,95,20,20,27,91,154,20,43,20,'MGL'
67,84,78,505,299,100,41,421,53,382,67,108,105,189,73,44,346,97,163,71,74,172,267,84,20,516,20,355,151,131,20,150,20,222,119,139,44,270,367,20,118,36,85,403,167,130,61,69,130,168,266,92,20,22,54,65,128,20,51,20,'MGL'
320,194,216,281,569,329,355,545,158,214,78,403,721,401,87,29,228,151,123,21,84,117,452,257,84,209,20,224,160,272,73,370,23,607,54,538,134,292,148,25,107,22,64,168,33,295,27,39,96,597,837,42,222,28,126,156,229,93,119,73,'RHB'
268,20,314,197,165,323,230,336,138,204,74,591,1132,497,20,36,226,116,102,33,37,124,275,281,146,236,20,508,112,231,58,405,20,108,53,97,149,336,107,20,96,20,102,142,20,303,37,26,122,688,903,45,415,20,108,130,215,85,63,67,'RHB'
397,20,286,340,178,339,412,396,114,216,74,458,924,472,20,36,218,142,86,24,40,90,395,307,100,226,20,20,137,225,65,389,21,211,59,222,144,41,96,20,134,20,109,104,20,321,45,36,104,689,723,46,395,39,102,157,370,72,86,70,'RHB'
285,20,213,312,180,347,394,629,164,198,67,553,881,560,20,29,195,256,154,27,101,128,508,303,44,185,20,20,94,250,60,390,21,455,58,651,177,94,96,20,87,20,132,104,30,451,63,33,94,663,793,35,356,20,110,229,514,57,42,76,'RHB'
425,20,251,329,209,436,384,644,91,183,67,457,754,569,20,29,235,143,104,25,58,108,515,283,165,211,20,45,94,189,45,663,51,261,52,1245,186,79,146,20,79,20,110,104,20,315,38,27,123,697,1190,38,353,20,96,180,390,76,58,71,'RHB'
489,20,255,292,241,376,429,619,138,147,61,505,1029,577,45,24,234,180,132,20,65,109,404,292,177,172,20,20,148,221,97,457,20,54,99,894,167,245,184,87,108,20,75,101,20,493,20,40,84,851,870,27,403,73,130,291,295,101,38,64,'RHB'
383,20,212,306,243,314,284,422,46,216,20,537,739,577,86,25,284,166,139,25,42,84,187,265,158,207,20,20,102,176,42,144,20,71,69,716,129,50,147,66,121,28,56,704,20,184,31,35,119,709,1085,49,296,20,143,222,299,134,37,67,'RHB'
366,20,145,434,136,221,189,352,108,237,96,208,154,299,104,31,256,167,135,32,45,163,263,94,303,218,20,280,252,348,80,390,20,75,65,132,58,710,433,71,70,25,71,323,67,425,22,41,89,451,821,30,71,27,62,231,170,206,43,41,'EPD'
323,33,352,373,159,219,249,340,73,230,106,231,73,339,104,23,231,142,135,39,36,108,226,20,286,179,20,303,258,356,69,384,20,46,55,159,60,885,160,129,86,37,92,254,134,411,42,37,72,362,577,36,81,46,57,231,261,154,56,50,'EPD'
377,62,149,582,203,246,243,482,102,171,100,387,416,400,80,20,216,165,115,32,97,128,288,63,202,183,20,165,233,254,68,428,22,114,50,412,73,580,145,151,100,30,76,298,72,403,27,32,76,477,706,34,171,175,100,231,157,298,61,42,'EPD'
453,23,274,395,162,251,274,572,72,199,115,458,605,431,33,23,201,188,110,30,108,98,428,102,213,174,20,104,172,263,70,538,55,191,41,614,113,403,139,97,23,24,114,383,47,379,26,20,90,541,719,35,406,69,101,274,252,206,102,64,'EPD'
483,27,239,366,176,263,210,773,98,163,111,295,458,459,42,20,192,209,117,31,111,92,608,126,187,134,68,165,163,331,73,498,92,434,36,694,155,504,170,98,51,34,129,291,26,383,23,22,75,500,707,35,256,93,93,258,211,171,141,65,'EPD'
368,26,231,537,200,303,339,366,25,191,127,208,120,296,75,27,234,191,131,32,51,142,381,119,177,218,20,296,220,339,52,426,20,155,70,454,96,441,411,123,35,38,87,307,52,417,30,35,99,490,611,35,60,25,57,262,69,243,38,38,'EPD'
308,24,252,327,147,221,163,518,80,174,82,316,306,320,67,20,242,138,126,28,70,56,193,62,225,146,20,20,199,282,64,330,20,176,62,504,99,579,322,90,191,37,63,378,20,313,38,31,100,509,849,31,222,98,79,183,174,183,46,43,'EPD'
342,114,247,445,321,147,154,661,69,170,253,323,237,389,73,23,222,217,113,33,105,149,329,119,321,224,138,269,249,233,64,497,28,323,48,561,118,935,248,135,35,32,112,671,114,342,25,20,94,515,740,38,162,91,138,234,228,164,93,63,'EPD'
393,141,330,579,382,274,96,567,97,161,105,286,353,463,38,20,189,141,92,28,134,118,226,55,259,163,20,228,184,272,86,389,20,49,40,71,80,876,281,111,85,26,130,550,87,401,27,32,69,574,581,36,243,165,102,210,369,121,63,67,'EPD'
409,89,261,431,288,222,248,513,103,174,109,463,580,400,193,20,183,170,94,25,113,95,287,88,190,175,20,473,205,225,65,363,23,320,41,498,141,498,237,97,84,26,95,559,85,306,22,26,104,586,659,31,330,121,191,170,239,205,61,59,'EPD'
239,329,195,198,686,215,235,562,46,182,228,328,375,512,113,20,202,221,67,27,231,107,301,88,239,188,20,1035,295,302,82,340,20,335,57,139,86,932,626,20,63,38,87,976,196,339,21,32,77,534,597,39,191,135,186,219,389,132,52,72,'JPA'
297,365,213,309,766,221,181,526,34,177,266,290,246,467,108,20,209,240,71,28,253,95,343,62,238,195,20,872,316,257,63,293,20,352,54,173,137,992,678,47,71,31,89,911,239,327,20,35,70,516,545,39,179,155,174,226,311,118,47,65,'JPA'
250,331,224,249,656,209,160,515,43,223,227,295,257,433,119,23,239,199,92,39,228,118,277,66,230,210,20,874,277,255,66,270,20,329,63,92,119,843,593,22,123,35,74,857,192,292,24,43,98,487,591,42,148,157,166,180,267,101,66,59,'JPA'
316,396,150,294,799,173,193,549,38,213,235,390,292,467,123,20,217,243,73,27,220,111,256,83,231,239,20,997,253,260,73,328,20,313,59,116,108,859,590,52,64,38,66,781,197,317,21,31,73,649,574,39,176,142,182,229,324,117,76,72,'JPA'
171,314,163,285,641,163,163,600,51,228,220,355,259,354,118,24,222,237,99,38,233,101,271,75,216,251,20,1069,241,236,57,315,20,287,63,304,115,858,630,20,67,36,80,887,214,348,24,33,78,561,574,48,167,160,170,209,357,92,64,60,'JPA'
247,293,233,356,737,187,167,492,54,216,236,363,263,402,122,20,209,209,74,36,200,121,228,65,248,272,20,896,303,273,64,336,20,269,48,50,164,826,668,48,99,33,78,887,248,315,28,39,76,573,599,54,181,143,197,141,329,83,69,53,'JPA'
