0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
607,452,64,158,545,119,39,27,117,214,54,29,721,329,257,403,222,355,281,93,370,320,73,151,168,84,569,194,224,148
108,275,102,138,336,63,26,37,124,204,53,36,1132,323,281,591,415,230,197,85,405,268,58,116,142,37,165,20,508,107
211,395,109,114,396,86,36,45,90,216,59,36,924,339,307,458,395,412,340,72,389,397,65,142,104,40,178,20,20,96
455,508,132,164,629,42,33,63,128,198,58,29,881,347,303,553,356,394,312,57,390,285,60,256,104,101,180,20,20,96
261,515,110,91,644,58,27,38,108,183,52,29,754,436,283,457,353,384,329,76,663,425,45,143,104,58,209,20,45,146
54,404,75,138,619,38,40,20,109,147,99,24,1029,376,292,505,403,429,292,101,457,489,97,180,101,65,241,20,20,184
71,187,56,46,422,37,35,31,84,216,69,25,739,314,265,537,296,284,306,134,144,383,42,166,704,42,243,20,20,147
75,263,71,108,352,43,41,22,163,237,65,31,154,221,94,208,71,189,434,206,390,366,80,167,323,45,136,20,280,433
46,226,92,73,340,56,37,42,108,230,55,23,73,219,20,231,81,249,373,154,384,323,69,142,254,36,159,33,303,160
114,288,76,102,482,61,32,27,128,171,50,20,416,246,63,387,171,243,582,298,428,377,68,165,298,97,203,62,165,145
191,428,114,72,572,102,20,26,98,199,41,23,605,251,102,458,406,274,395,206,538,453,70,188,383,108,162,23,104,139
434,608,129,98,773,141,22,23,92,163,36,20,458,263,126,295,256,210,366,171,498,483,73,209,291,111,176,27,165,170
155,381,87,25,366,38,35,30,142,191,70,27,120,303,119,208,60,339,537,243,426,368,52,191,307,51,200,26,296,411
176,193,63,80,518,46,31,38,56,174,62,20,306,221,62,316,222,163,327,183,330,308,64,138,378,70,147,24,20,322
323,329,112,69,661,93,20,25,149,170,48,23,237,147,119,323,162,154,445,164,497,342,64,217,671,105,321,114,269,248
49,226,130,97,567,63,32,27,118,161,40,20,353,274,55,286,243,96,579,121,389,393,86,141,550,134,382,141,228,281
320,287,95,103,513,61,26,22,95,174,41,20,580,222,88,463,330,248,431,205,363,409,65,170,559,113,288,89,473,237
335,301,87,46,562,52,32,21,107,182,57,20,375,215,88,328,191,235,198,132,340,239,82,221,976,231,686,329,1035,626
352,343,89,34,526,47,35,20,95,177,54,20,246,221,62,290,179,181,309,118,293,297,63,240,911,253,766,365,872,678
329,277,74,43,515,66,43,24,118,223,63,23,257,209,66,295,148,160,249,101,270,250,66,199,857,228,656,331,874,593
313,256,66,38,549,76,31,21,111,213,59,20,292,173,83,390,176,193,294,117,328,316,73,243,781,220,799,396,997,590
287,271,80,51,600,64,33,24,101,228,63,24,259,163,75,355,167,163,285,92,315,171,57,237,887,233,641,314,1069,630
269,228,78,54,492,69,39,28,121,216,48,20,263,187,65,363,181,167,356,83,336,247,64,209,887,200,737,293,896,668
