@relation default
@attribute D00763_at integer
@attribute D13631_s_at integer
@attribute D14662_at integer
@attribute D25304_at integer
@attribute D42041_at integer
@attribute D80004_at integer
@attribute D85815_at integer
@attribute HG3514-HT3708_at integer
@attribute J03191_at integer
@attribute M16447_at integer
@attribute M20137_at integer
@attribute M31303_rna1_at integer
@attribute M57464_s_at integer
@attribute U07550_at integer
@attribute U16954_at integer
@attribute U79262_at integer
@attribute U79294_at integer
@attribute V01515_cds1_at integer
@attribute X00371_rna1_at integer
@attribute X76105_at integer
@attribute Class {MED,MGL,RHB,EPD,JPA}
@data
254,20,215,176,221,300,232,449,309,83,132,573,308,362,407,189,114,46,42,45,'MED'
70,20,41,214,113,418,273,178,112,44,83,576,268,144,699,148,109,26,64,40,'MED'
276,20,187,191,197,320,229,214,106,89,126,696,262,225,874,204,200,49,59,49,'MED'
220,20,134,180,148,385,203,250,196,70,88,791,210,255,872,208,86,43,40,108,'MED'
226,20,177,153,277,353,226,216,309,97,102,631,175,237,848,185,92,42,42,87,'MED'
100,20,116,98,137,159,216,328,20,69,117,819,41,79,1069,171,129,41,44,108,'MED'
142,20,172,163,162,258,248,356,126,50,113,751,206,230,786,200,95,46,37,20,'MED'
72,36,42,149,110,97,380,73,30,70,209,183,121,91,337,125,91,69,69,20,'MGL'
136,98,202,235,156,23,359,207,112,77,189,250,128,174,276,103,246,61,61,20,'MGL'
26,40,179,185,113,50,373,83,121,82,198,225,78,45,169,91,461,56,74,20,'MGL'
163,99,222,296,169,64,316,237,320,117,188,265,165,198,309,146,302,57,60,66,'MGL'
68,63,136,214,145,91,382,178,20,109,172,167,68,133,486,138,156,66,70,20,'MGL'
60,44,85,165,84,54,349,54,47,34,176,93,109,57,177,125,148,64,66,20,'MGL'
67,84,505,299,100,53,382,108,105,74,172,267,84,150,222,85,403,61,69,20,'MGL'
320,194,281,569,329,158,214,403,721,84,117,452,257,370,607,64,168,27,39,93,'RHB'
268,20,197,165,323,138,204,591,1132,37,124,275,281,405,108,102,142,37,26,85,'RHB'
397,20,340,178,339,114,216,458,924,40,90,395,307,389,211,109,104,45,36,72,'RHB'
285,20,312,180,347,164,198,553,881,101,128,508,303,390,455,132,104,63,33,57,'RHB'
425,20,329,209,436,91,183,457,754,58,108,515,283,663,261,110,104,38,27,76,'RHB'
489,20,292,241,376,138,147,505,1029,65,109,404,292,457,54,75,101,20,40,101,'RHB'
383,20,306,243,314,46,216,537,739,42,84,187,265,144,71,56,704,31,35,134,'RHB'
366,20,434,136,221,108,237,208,154,45,163,263,94,390,75,71,323,22,41,206,'EPD'
323,33,373,159,219,73,230,231,73,36,108,226,20,384,46,92,254,42,37,154,'EPD'
377,62,582,203,246,102,171,387,416,97,128,288,63,428,114,76,298,27,32,298,'EPD'
453,23,395,162,251,72,199,458,605,108,98,428,102,538,191,114,383,26,20,206,'EPD'
483,27,366,176,263,98,163,295,458,111,92,608,126,498,434,129,291,23,22,171,'EPD'
368,26,537,200,303,25,191,208,120,51,142,381,119,426,155,87,307,30,35,243,'EPD'
308,24,327,147,221,80,174,316,306,70,56,193,62,330,176,63,378,38,31,183,'EPD'
342,114,445,321,147,69,170,323,237,105,149,329,119,497,323,112,671,25,20,164,'EPD'
393,141,579,382,274,97,161,286,353,134,118,226,55,389,49,130,550,27,32,121,'EPD'
409,89,431,288,222,103,174,463,580,113,95,287,88,363,320,95,559,22,26,205,'EPD'
239,329,198,686,215,46,182,328,375,231,107,301,88,340,335,87,976,21,32,132,'JPA'
297,365,309,766,221,34,177,290,246,253,95,343,62,293,352,89,911,20,35,118,'JPA'
250,331,249,656,209,43,223,295,257,228,118,277,66,270,329,74,857,24,43,101,'JPA'
316,396,294,799,173,38,213,390,292,220,111,256,83,328,313,66,781,21,31,117,'JPA'
171,314,285,641,163,51,228,355,259,233,101,271,75,315,287,80,887,24,33,92,'JPA'
247,293,356,737,187,54,216,363,263,200,121,228,65,336,269,78,887,28,39,83,'JPA'
